symptom_id	source	narrative	domain_candidate	tele_violations	frequency	cost	linked_ideas	fix_status
sym-A-011	bug-11	**Implementation-scope idea:** idea-132 (filed 2026-04-21 AEST) — captures the seven proposed mitigations below as architect-triageable scope. Closes the "to-be-logged" orphan referenced in this description. `auto_thread_reply_failed` ("Thread reply for thread-X exceeded tool-call rounds without con	cognitive-layer	tele-11,tele-7	recurring	blocking		no-idea-filed
sym-A-012	bug-12	All 11 tests in `packages/network-adapter/test/integration/threads-2-smoke.test.ts` fail with: ```	tool-surface		rare	minor		no-idea-filed
sym-A-013	bug-13	**Symptom:** `list_tasks({sort: [{field: "id", order: "desc"}], limit: 3})` returns `task-9, task-8, task-7` instead of the expected `task-304, task-303, task-302` when the collection contains both low-single-digit IDs and triple-digit IDs. **Root cause:** `applyQuerySort` in `hub/src/policy/list-fi	tool-surface	tele-11,tele-7	rare	minor		no-idea-filed
sym-A-014	bug-14	The two `kind: "update"` cascade ActionSpecs — `update_idea` and `update_mission_status` — do not compare the incoming `changes` payload against the target entity's current state. As a result, a second cascade invocation on the same action (same `{sourceThreadId, sourceActionId}` pair) re-applies th	cascade-execution	tele-11,tele-7	rare-historical	minor		shipped
sym-A-015	bug-15	Phase 2d CP1 wired the shadow-invariant logger at INV-TH18, INV-TH19, and INV-TH25 enforcement sites, but **INV-TH17 (turn pinning by agentId)** throws were not instrumented. The throw sites live inside the store layer (`hub/src/state.ts` + `hub/src/gcs-state.ts`, e.g. line 1491 `if (current.current	cognitive-layer	tele-1,tele-11,tele-5,tele-7	rare-historical	minor		shipped
sym-A-016	bug-16	Director surfaced two related Agent-entity lifecycle gaps during a second-engineer ("kate") co-location test on 2026-04-20. Both are symptoms of a deeper problem: the Hub's Agent entity has a FSM (`online → degraded → unresponsive → offline` per `computeLivenessState` at `hub/src/state.ts:904`) but 	cognitive-layer	tele-11,tele-7	rare-historical	moderate		shipped
sym-A-017	bug-17	When an engineer launches via `./start-claude.sh <name>` (which invokes `claude --dangerously-load-development-channels plugin:agent-adapter@agentic-network`), the resulting Agent record stores: ```	identity-layer	tele-1,tele-11,tele-5,tele-7	rare-historical	minor		shipped
sym-A-018	bug-18	After kate's Agent record was manually deleted + re-minted (on 2026-04-20 ~09:39Z to recover from the labels-stuck-at-prod issue per bug-16), SSE dispatches to her do not arrive even though: - Her Agent record shows `status: "online"` with a fresh `currentSessionId: "bed00f05-bd92-43d4-bd88-d34ad1b7	identity-layer	tele-11,tele-7	rare-historical	moderate		shipped
sym-A-019	bug-19	When an LLM receives a queued thread_message dispatch and replies via `create_thread_reply`, the reply does NOT automatically settle the corresponding pending-action queue item. The LLM must explicitly pass `sourceQueueItemId` in the reply args to transition the queue item from `receipt_acked` to `c	cognitive-layer	tele-11,tele-7	rare-historical	minor		shipped
sym-A-020	bug-20	**This is an uncovered seam in the workflow engine, not a defect.** The Hub supports one-shot task issuance at thread-convergence time (cascade action handlers spawn tasks on `converged=true` — that path works). The "continuous mission-sequence advancement via review signals" path simply was never b	coordination		rare-historical	moderate		shipped
sym-A-021	bug-21	`chunkReplyMessage()` on `agents/vertex-cloudrun/src/sandwich.ts` (shipped 2026-04-22 as task-313 v1) uses raw `String.prototype.slice()` to split oversized `create_thread_reply.message` values into chunks of at most `ARCHITECT_MAX_REPLY_CHUNK_SIZE` UTF-16 code units. This is explicitly documented a	tool-surface		rare	minor		no-idea-filed
sym-A-022	bug-22	**Surfaced in architect review of task-314** (mission-38 closing review; reviewRef reviews/task-314-v1-review.md). **Behavior:** the Hub's continuation sweep re-dispatches every `continuation_required` PendingActionItem at the configured interval (default 15s). If the target adapter repeatedly fails	entity-vocabulary		rare	minor		no-idea-filed
sym-A-023	bug-23	**Observed once on thread-241 (2026-04-21 09:17Z).** Filing to capture reproducible investigation + verify hypothesis before the pattern recurs on future cascades. **Setup.** thread-241 opened by engineer (`eng-0d2c690e7dd5`) as unicast collaborative_brainstorm to architect (`eng-ddec09b296d0`), cor	cascade-execution	tele-7	rare	minor		no-idea-filed
sym-A-024	bug-24	**Problem.** `create_tele` is declared immutable ("Immutable once created" per tool description), and the tool surface exposes only `create_tele`, `get_tele`, and `list_tele` — no `delete_tele`, `supersede_tele`, `update_tele`, or equivalent lifecycle primitive. This blocks any ratified retirement, 	entity-vocabulary		recurring	moderate		no-idea-filed
sym-A-025	bug-25	**Problem.** Thread message delivery truncates oversized content somewhere between Hub storage (clean) and the recipient Claude's rendered view. Observed symptom: recipient LLM reports portions of message body missing, consistently around a 10–15KB threshold. First surfaced in thread-243 when archit	delivery	tele-4,tele-7	recurring	moderate		no-idea-filed
sym-A-026	bug-26	A live agent session loses its Hub connection when an unrelated `claude mcp list` (or any other transient adapter spawn) runs concurrently. Hub log shows `Agent displaced: eng-XXX epoch=N+1` triggered by the probe's handshake. The live session's SSE stream is closed; it must reconnect from scratch —	identity-layer	tele-1,tele-7	rare-historical	moderate		shipped
sym-A-027	bug-27	Calling `propose_mission` via thread convergence cascade with a `documentRef` field in the payload creates the resulting Mission entity with `documentRef: null` instead of the supplied value. The field is silently dropped between the staged-action payload (where it survives validation at the converg	cascade-execution	tele-2,tele-3,tele-7	rare	minor		no-idea-filed
sym-A-028	bug-28	`create_task` with `dependsOn: [<taskId>]` where `<taskId>` is already in `status: "completed"` at creation time produces a task in `status: "blocked"` instead of `status: "pending"`. The dep-evaluation logic does not resolve already-satisfied dependencies at task-creation time; it assumes all depen	cascade-execution	tele-7	rare	minor		no-idea-filed
